City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Port Alfred,ZA,70.18,clear sky,-33.5906,26.891,The Halyards Hotel & Spa
12,Souillac,MU,73.78,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
13,Matay,EG,74.37,clear sky,28.419,30.7792,Nag Aespen
24,Sao Filipe,CV,78.53,few clouds,14.8961,-24.4956,Hotel Xaguate
29,Lebowakgomo,ZA,72.5,overcast clouds,-24.2,29.5,Chuene Resort
30,Ajdabiya,LY,72.19,clear sky,30.7554,20.2263,منزلة الحاج سالم خليفة العيساويه الزواوي
31,Dingle,PH,76.44,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
37,Quatre Cocos,MU,73.51,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
39,Hambantota,LK,79.09,broken clouds,6.1241,81.1185,Bungalow 63
40,Mahe,IN,76.71,few clouds,11.7,75.5333,Mahi Midas Sea View Hotel
48,Windsor,CA,74.26,clear sky,42.3001,-83.0165,Detroit Marriott at the Renaissance Center
53,Mahebourg,MU,73.69,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
57,Castro,BR,76.78,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
60,Saint-Philippe,RE,72.99,broken clouds,-21.3585,55.7679,Le four à pain
63,Dothan,US,76.84,clear sky,31.2232,-85.3905,Courtyard by Marriott Dothan
74,Sojitra,IN,77.38,clear sky,22.55,72.7167,Gayatri Villa
76,Puerto Del Rosario,ES,76.75,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
77,Fougamou,GA,74.07,overcast clouds,-1.2154,10.5838,Résidence d'Hôtes Bapedy
82,Victoria,HK,75.38,clear sky,22.2855,114.1577,Mini Central
84,Los Llanos De Aridane,ES,71.35,few clouds,28.6585,-17.9182,Valle Aridane
87,Bambous Virieux,MU,73.65,broken clouds,-20.3428,57.7575,Casa Tia Villa
105,Santa Maria,BR,76.08,clear sky,-29.6842,-53.8069,Hotel Morotin
108,Port Elizabeth,ZA,72.1,few clouds,-33.918,25.5701,39 On Nile Guest House
118,Marzuq,YE,71.89,scattered clouds,14.4,46.4667,حيد القفلة
120,Port-Gentil,GA,77.36,overcast clouds,-0.7193,8.7815,Fengshui Residence
124,Vila Velha,BR,78.75,light rain,-20.3297,-40.2925,Hotel Vitória Palace
128,East London,ZA,70.74,clear sky,-33.0153,27.9116,Tu Casa
131,Nosy Varika,MG,73.85,clear sky,-20.5833,48.5333,Hotel Volazara
134,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
138,Omboue,GA,75.34,light rain,-1.5746,9.2618,Hotel Olako
142,Mahanoro,MG,74.07,scattered clouds,-19.9,48.8,BUNGALOW MAHAMANINA
143,Jalu,LY,73.96,clear sky,29.0331,21.5482,صاحبة الفخامة
145,Inongo,CD,77.07,light rain,-1.95,18.2667,Hotel Du Lac
148,Mitsamiouli,KM,76.24,few clouds,-11.3847,43.2844,Foyer ADM
151,Danville,US,72.88,clear sky,36.586,-79.395,"Holiday Inn Express Danville, an IHG Hotel"
152,Teguise,ES,71.82,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
155,Sabha,LY,71.51,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
156,Nijar,ES,73.65,clear sky,36.9665,-2.206,La Casa del Cine
160,Nouadhibou,MR,71.58,clear sky,20.931,-17.0347,El Medina
164,San Roque,ES,76.03,clear sky,36.2107,-5.3842,Hotel Guadacorte Park
169,Padang,ID,77.16,light rain,-0.9492,100.3543,Mercure Padang
171,Fenoarivo,MG,71.67,scattered clouds,-18.933,47.4354,Skyfol Ambodiafontsy
184,Hamilton,US,74.98,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
187,Ambilobe,MG,74.23,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
190,Bom Jesus Do Galho,BR,75.79,overcast clouds,-19.8289,-42.3161,Hotel e Restaurante 'Seachegue'
204,Galle,LK,77.77,overcast clouds,6.0367,80.217,Amangalla
209,Belmonte,BR,77.94,moderate rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
214,Suez,EG,70.79,overcast clouds,29.9737,32.5263,Green House
218,Nanga Eboko,CM,74.16,light rain,4.6833,12.3667,Motel Papi Palace
223,Ponta Do Sol,PT,75.83,overcast clouds,32.6667,-17.1,Hotel do Campo
225,Necochea,AR,76.44,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
235,Ardakan,IR,75.72,broken clouds,32.31,54.0175,Ardakan Hotel
236,Rocha,UY,70.2,scattered clouds,-34.4833,-54.3333,Hotel Arrarte
