City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,-33.9258,18.4232,68.11,72,20,24.16,few clouds
1,Rochegda,RU,62.8,43.25,34.81,89,91,9.57,overcast clouds
2,Urucara,BR,-2.5364,-57.76,95.16,41,87,4.12,overcast clouds
3,Port Alfred,ZA,-33.5906,26.891,70.18,85,1,3.0,clear sky
4,Arauca,CO,7.0847,-70.7591,85.96,66,20,3.44,few clouds
5,Khash,IR,28.2211,61.2158,68.13,18,0,2.06,clear sky
6,Ushuaia,AR,-54.8,-68.3,46.06,61,75,5.75,broken clouds
7,Longyearbyen,SJ,78.2186,15.6401,22.84,63,75,9.22,broken clouds
8,Pyshma,RU,56.9523,63.2513,38.19,66,100,17.92,overcast clouds
9,Punta Arenas,CL,-53.15,-70.9167,48.22,71,75,24.16,light intensity shower rain
10,Hithadhoo,MV,-0.6,73.0833,83.07,71,83,6.33,broken clouds
11,Hermanus,ZA,-34.4187,19.2345,68.81,86,19,9.51,few clouds
12,Souillac,MU,-20.5167,57.5167,73.78,73,75,9.22,broken clouds
13,Matay,EG,28.419,30.7792,74.37,40,1,11.99,clear sky
14,Vardo,NO,70.3705,31.1107,35.58,64,40,12.66,scattered clouds
15,Klaksvik,FO,62.2266,-6.589,52.72,98,100,15.84,overcast clouds
16,Touros,BR,-5.1989,-35.4608,84.07,65,24,15.41,few clouds
17,Turiacu,BR,-1.6633,-45.3717,86.11,61,86,7.85,overcast clouds
18,Stepnyak,KZ,52.8339,70.7803,29.1,73,0,10.98,clear sky
19,Pisco,PE,-13.7,-76.2167,66.02,74,99,7.65,overcast clouds
20,San Rafael Del Sur,NI,11.8485,-86.4384,85.17,61,83,7.31,broken clouds
21,Codrington,AU,-38.2667,141.9667,56.89,98,100,5.19,overcast clouds
22,Cuamba,MZ,-14.8031,36.5372,83.16,30,35,4.18,scattered clouds
23,Westport,US,41.1415,-73.3579,59.27,90,100,11.5,mist
24,Sao Filipe,CV,14.8961,-24.4956,78.53,74,17,7.0,few clouds
25,Qaqortoq,GL,60.7167,-46.0333,33.69,90,89,3.76,overcast clouds
26,Jamestown,US,42.097,-79.2353,67.59,63,0,3.0,clear sky
27,Marathon,US,44.9,-89.7668,63.66,85,40,14.97,scattered clouds
28,Piacabucu,BR,-10.4056,-36.4344,82.83,66,80,14.43,broken clouds
29,Lebowakgomo,ZA,-24.2,29.5,72.5,50,99,6.15,overcast clouds
30,Ajdabiya,LY,30.7554,20.2263,72.19,72,8,17.36,clear sky
31,Dingle,PH,10.9995,122.6711,76.44,91,95,4.23,overcast clouds
32,Mumbwa,ZM,-14.9783,27.0619,82.74,22,95,3.76,overcast clouds
33,Sept-Iles,CA,50.2001,-66.3821,54.12,75,100,5.75,overcast clouds
34,Ribeira Grande,PT,38.5167,-28.7,64.8,59,75,11.5,broken clouds
35,Upernavik,GL,72.7868,-56.1549,27.82,88,100,5.93,overcast clouds
36,Hvide Sande,DK,56.0045,8.1294,56.08,87,89,31.38,overcast clouds
37,Quatre Cocos,MU,-20.2078,57.7625,73.51,72,9,8.75,clear sky
38,Turukhansk,RU,65.8167,87.9833,28.49,97,100,13.98,light snow
39,Hambantota,LK,6.1241,81.1185,79.09,81,70,14.56,broken clouds
40,Mahe,IN,11.7,75.5333,76.71,83,11,4.5,few clouds
41,Ereymentau,KZ,51.6199,73.1033,29.73,49,0,7.76,clear sky
42,Ugoofaaru,MV,5.6667,73.0,81.14,82,99,12.35,overcast clouds
43,Busselton,AU,-33.65,115.3333,57.27,87,98,12.77,overcast clouds
44,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,65,40,13.8,scattered clouds
45,Nioro,GM,13.35,-15.75,81.5,80,100,3.47,light rain
