City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,New Norfolk,-42.7826,147.0587,42.3,83,13,1.01,AU,2022-07-28 22:14:16
1,Hermanus,-34.4187,19.2345,57.33,77,22,12.17,ZA,2022-07-28 22:09:17
2,Busselton,-33.65,115.3333,58.51,71,100,15.7,AU,2022-07-28 22:14:16
3,Chifeng,42.2683,118.9636,65.8,81,100,1.7,CN,2022-07-28 22:14:17
4,Moron,-34.6534,-58.6198,55.15,67,4,10.47,AR,2022-07-28 22:14:17
5,East London,-33.0153,27.9116,70.83,53,26,18.63,ZA,2022-07-28 22:14:17
6,Butaritari,3.0707,172.7902,81.88,72,37,15.97,KI,2022-07-28 22:14:18
7,Rikitea,-23.1203,-134.9692,73.47,72,76,21.59,PF,2022-07-28 22:14:18
8,Tamesis,5.6646,-75.7134,67.35,86,90,1.83,CO,2022-07-28 22:14:18
9,Ushuaia,-54.8,-68.3,40.66,81,40,25.32,AR,2022-07-28 22:14:19
10,Bandarbeyla,9.4942,50.8122,76.17,82,74,26.8,SO,2022-07-28 22:14:19
11,Hamilton,39.1834,-84.5333,90.14,50,20,9.22,US,2022-07-28 22:10:24
12,Port Alfred,-33.5906,26.891,68.18,61,1,3.0,ZA,2022-07-28 22:14:20
13,Bud,39.447,-86.1758,85.98,61,75,4.45,US,2022-07-28 22:14:20
14,Sitka,57.0531,-135.33,58.89,94,100,5.75,US,2022-07-28 22:14:20
15,Cape Town,-33.9258,18.4232,58.87,83,56,10.0,ZA,2022-07-28 22:12:01
16,Bethel,41.3712,-73.414,86.36,75,100,6.91,US,2022-07-28 22:14:21
17,Puerto Baquerizo Moreno,-0.9,-89.6,70.79,88,75,8.05,EC,2022-07-28 22:10:11
18,Mataura,-46.1927,168.8643,47.48,96,85,2.66,NZ,2022-07-28 22:14:21
19,Namibe,-15.1961,12.1522,61.11,83,21,7.31,AO,2022-07-28 22:14:22
20,Dingle,10.9995,122.6711,77.81,90,100,7.2,PH,2022-07-28 22:14:22
21,Severnoye,56.3491,78.3619,57.13,95,65,8.39,RU,2022-07-28 22:14:22
22,Hobart,-42.8794,147.3294,42.66,76,40,11.5,AU,2022-07-28 22:14:22
23,Padang,-0.9492,100.3543,78.01,85,100,4.59,ID,2022-07-28 22:14:23
24,Takoradi,4.8845,-1.7554,75.38,79,78,10.96,GH,2022-07-28 22:14:23
25,Saint George,37.1041,-113.5841,98.64,28,0,10.36,US,2022-07-28 22:14:13
26,Tateyama,34.9833,139.8667,83.1,85,84,8.86,JP,2022-07-28 22:14:24
27,Eyl,7.9803,49.8164,76.15,78,66,21.12,SO,2022-07-28 22:14:24
28,Avarua,-21.2078,-159.775,78.85,78,20,21.85,CK,2022-07-28 22:14:24
29,Albany,42.6001,-73.9662,82.92,63,72,1.01,US,2022-07-28 22:14:04
30,Saskylakh,71.9167,114.0833,60.19,91,100,4.61,RU,2022-07-28 22:14:25
31,Arumbavur,11.3833,78.7333,79.47,81,21,1.74,IN,2022-07-28 22:14:25
32,Kiunga,-6.1219,141.2906,74.08,99,98,3.36,PG,2022-07-28 22:14:25
33,Jamestown,42.097,-79.2353,80.94,41,0,13.8,US,2022-07-28 22:12:28
